cwithid,timestamp,blocks,price_rate,total_spots,occupied
0,2011/4/22 6:00,"{70105,70105}",0,21,23.49
0,2011/4/22 8:00,"{70105,70105}",3,21,43.25
0,2011/4/22 9:00,"{70105,70105,44304,44304}",2.5,21.5,54.15
0,2011/4/22 12:00,"{70105,70105,46402}",3,19,32.89
0,2011/4/22 13:00,"{46402,70105,70105}",3,19,34.46
0,2011/4/22 15:00,{46402},3,15,21.78
0,2011/4/22 16:00,"{44304,44304}",2,22,68.34
0,2011/4/22 19:00,"{46402,70105,70105}",0,19,74.36
0,2011/4/22 21:00,"{70105,70105,46402}",0,19,77.93
0,2011/4/22 22:00,"{46402,44304,44304}",0,19.67,80.82
0,2011/4/22 23:00,"{44304,44304,46402}",0,19.67,47.71
0,2011/4/23 0:00,"{44304,44304}",0,22,56
0,2011/4/23 1:00,"{44304,44304,46402,70105,70105}",0,20.2,30.44
0,2011/4/23 2:00,"{46402,44304,44304}",0,19.67,26.53
0,2011/4/23 4:00,{46402},0,15,20
0,2011/4/23 5:00,"{46402,44304,44304}",0,19.67,25.95
0,2011/4/23 7:00,"{44304,44304,70105,70105}",1.5,21.5,25.69
0,2011/4/23 8:00,"{46402,44304,44304}",1,19.67,30.85
0,2011/4/23 10:00,"{44304,44304,70105,70105}",2.5,21.5,26.06
0,2011/4/23 11:00,"{46402,44304,44304}",2.33,19.67,51.35
0,2011/4/23 12:00,"{44304,44304}",2,22,67.49
0,2011/4/23 14:00,{46402},3,15,31.4
0,2011/4/23 17:00,"{44304,44304}",2,22,84.49
0,2011/4/23 18:00,{46402},0,15,82.8
0,2011/4/23 19:00,{46402},0,15,96.74
0,2011/4/23 20:00,{46402},0,15,97.55
0,2011/4/23 21:00,"{46402,44304,44304}",0,19.67,95.35
0,2011/4/23 22:00,"{44304,44304,46402}",0,19.67,67.77
0,2011/4/23 23:00,{46402},0,15,20.46
0,2011/4/24 0:00,{46402},0,15,13.33
0,2011/4/24 2:00,"{70105,70105}",0,21,15.06
0,2011/4/24 3:00,"{44304,44304}",0,22,36.4
0,2011/4/24 4:00,{46402},0,15,6.67
0,2011/4/24 5:00,"{46402,44304,44304}",0,19.67,26.48
0,2011/4/24 6:00,"{70105,70105}",0,21,14.36
0,2011/4/24 7:00,"{70105,70105,46402}",0,19,14.34
0,2011/4/24 9:00,"{44304,44304}",0,22,78.57
0,2011/4/24 10:00,"{44304,44304}",0,22,84.03
0,2011/4/24 11:00,{46402},0,15,65.91
0,2011/4/24 12:00,{46402},0,15,50.52
0,2011/4/24 13:00,{46402},0,15,24.7
0,2011/4/24 14:00,"{44304,44304}",0,22,80.3
0,2011/4/24 15:00,"{70105,70105}",0,21,42.15
0,2011/4/24 17:00,"{70105,70105,46402,44304,44304}",0,20.2,67.79
0,2011/4/24 18:00,{46402},0,15,74.85
0,2011/4/24 19:00,{46402},0,15,93.33
0,2011/4/24 20:00,"{46402,70105,70105}",0,19,95.89
0,2011/4/24 21:00,"{70105,70105}",0,21,56.9
0,2011/4/24 22:00,"{70105,70105}",0,21,15.75
0,2011/4/24 23:00,{46402},0,15,6.67
0,2011/4/25 0:00,"{44304,44304}",0,22,39.06
0,2011/4/25 1:00,"{46402,70105,70105}",0,19,6.47
0,2011/4/25 2:00,"{44304,44304}",0,22,32.01
0,2011/4/25 6:00,"{44304,44304,46402}",0,19.67,34.65
0,2011/4/25 7:00,"{46402,70105,70105,44304,44304}",2.6,20.2,44.59
0,2011/4/25 9:00,"{44304,44304,46402}",2.33,19.67,52.87
0,2011/4/25 10:00,"{44304,44304}",2,22,61.71
